name,description,maker,trademark
Cerveza Otro Mundo 500 Ml,Cerveza Otro Mundo 500 Ml,,Otro Mundo
Vino San Telmo Varietales X750Ml.,Vino San Telmo Varietales X750Ml.,,San Telmo
Mayonesa Natura 1000cc,Mayonesa Natura con jugo de limon sachet x 1000 cc.,gallega,Natura
Brahma Chopp 354cc x 6,Brahma Chopp 354cc x 6,,Brahma
Mayonesa HellmannS Light Doypack 237 Gr,Mayonesa HellmannS Light Doypack 237 Gr,,Hellmann´S
vino LOS CARDOS sauv-blanco,VINO BLANCO LOS CARDOS SAUVIGNON 750 CC,,LOS CARDOS
Postre Georgalos Nucrem Chocolatados 170 Gr,Postre Georgalos Nucrem Chocolatados 170 Gr,,Georgalos
Salchichón Piccolo Calchaqui Con Morrones 240 g,Salchichón Piccolo Calchaqui Con Morrones 240 g,La Piamontesa	,Calchaqui 
Galletitas Obleas Rhodesia Agrupado 22 Gr X 4 U,Galletitas Obleas Rhodesia Agrupado 22 Gr X 4 U,,Rhodesia
Aceite De Oliva Natura Extra Virgen Clásico 500 Ml,Aceite De Oliva Natura Extra Virgen Clásico 500 Ml,,Natura
Cerveza Isenbeck 355 1 L,Cerveza Isenbeck 355 1 L,Isenbech,Isenbech
Vino Tinto Infinitus Malbec Syrah 750 Cc,Vino Tinto Infinitus Malbec Syrah 750 Cc,,Infinitus
Oblea Nugaton Leche 27 Gr,Oblea Nugaton Leche 27 Gr,,Nugaton
Queso Blanco Tregar - Clásico X 300Grs,Queso Blanco Tregar - Clásico X 300Grs,,Tregar
"Jugo Clight Durazno 1 U
","Jugo Clight Durazno 1 U
",Mondelēz International,Clight 
Queso Familia Weiss Con Ciervo 140 Gr,Queso Familia Weiss Con Ciervo 140 Gr,,Familia Weiss
Vino Tinto Malbec Omnium 750 Ml,Vino Tinto Malbec Omnium 750 Ml,,Omnium
Vino Tinto Estancia Mendoza Cabernet Sauvignon 750 Cc,Vino Tinto Estancia Mendoza Cabernet Sauvignon 750 Cc,,Estancia Mendoza
Champaña Baron B Brut 750 Cc,Champaña Baron B Brut 750 Cc,,Baron B
Salsa Hellmann'S  Barbacoa 500 Gr,Salsa Hellmann'S  Barbacoa 500 Gr,,Hellmann´S
Vino Tinto Famiglia Bianchi Malbec 750 Cc,Vino Tinto Famiglia Bianchi Malbec 750 Cc,,Famiglia Bianchi
Vino Tinto San Felipe 12 Uvas 750 Cc,Vino Tinto San Felipe 12 Uvas 750 Cc,,San Felipe
Mayonesa Regular Dp Hellmanns 950gr,HELLMANNS MAYONESA CLASICA DOYPACK 950CC.,gallega,Hellmanns
"Chicles Beldent Infinit Wow Mint 26,6 Gr","Chicles Beldent Infinit Wow Mint 26,6 Gr",,Beldent
Queso Rallado La Serenísima Puro Reggianito150 g,Queso Rallado La Serenísima Puro Reggianito150 g,Mastellone Hnos,La Serenísima 
Queso Fontina Sancor Tradicional 1 Kg,Queso Fontina Sancor Tradicional 1 Kg,SanCor ,SanCor 
Mortadela Tripack Por Kg Mínimo 800 Gr Mayorista,Mortadela Tripack Por Kg Mínimo 800 Gr Mayorista,,Sin Marca
Jugo Clight en Polvo Sabor Naranja Sin Azúcares 9 g,Jugo Clight en Polvo Sabor Naranja Sin Azúcares 9 g,Mondelez International,Clight
Vino Tinto Alaris Malbec 750 Cc,Vino Tinto Alaris Malbec 750 Cc,,Trapiche
Limonada Villa Del Sur Levité Clásica Sin Gas 600 mL,Limonada Villa Del Sur Levité Clásica Sin Gas 600 mL,Danone,Villa Del Sur
Queso Doble Crema Cremón Vitamina A/D Por 1 Kg,Queso Doble Crema Cremón Vitamina A/D Por 1 Kg,Mastellone Hnos. , Cremón 
Chocolate De Leche Cofler 100 Gr,Chocolate De Leche Cofler 100 Gr,,Cofler
Vino Tinto Terrazas Altos Del Plata Malbec 750 Cc,Vino Tinto Terrazas Altos Del Plata Malbec 750 Cc,,Terrazas
Ketchup Heinz X 397G,Ketchup Heinz X 397G,Heinz,Heinz
Queso Barra Milkaut Trozado-Sob-Kg-1,Queso Barra Milkaut Trozado-Sob-Kg-2,,Milkaut
"Agua Glaciar Mineral Sin Gas 1,5 L","Agua Glaciar Mineral Sin Gas 1,5 L",Nestlé ,Glaciar
Aceite De Girasol Vea Mp 900Ml-Bot-Ml.-900,Aceite De Girasol Vea Mp 900Ml-Bot-Ml.-900,,Vea Mp
Vino Tinto Borgoña Viejo Solar 1.125 Cc,Vino Tinto Borgoña Viejo Solar 1.125 Cc,Viejo Solar,Viejo Solar
Chupetines Surtidos Mr Pop Evolution X432G,Chupetines Surtidos Mr Pop Evolution X432G,,Mr Pop´S
Salsa Agridulce Develey X 250Ml,Salsa Agridulce Develey X 250Ml,,Develey
Queso Doble Crema Cremón Vitamina A/D Por 1 Kg,Queso Doble Crema Cremón Vitamina A/D Por 1 Kg,Mastellone Hnos. , Cremón 
Vino Tinto D.V. Catena Malbec 750 mL,Vino Tinto D.V. Catena Malbec 750 mL,Bodega Catena Zapata,Dv Catena
Lata Quilmes Stout-Lat-Cc.-473,Lata Quilmes Stout-Lat-Cc.-474,,Stout
Galletas Malteadas Originales,Galletas Malteadas Originales,,La Panaderia
Queso Cremoso Tregar Fraccionado Paquete 1 Kg.,Queso Cremoso Tregar Fraccionado Paquete 1 Kg.,,Tregar
Queso Provolone Santa Rosa Centenario X Kg,Queso Provolone Santa Rosa Centenario X Kg,,Santa Rosa
Vino Finca Natalina Syrah-Malbec/Ugni Blanco X 750 Ml.,Vino Finca Natalina Syrah-Malbec/Ugni Blanco X 750 Ml.,,Finca Natalina
postre AGUILA tentaciones,Postre Aguila Tentaciones Marroc X270G,,Aguila
Alfajor De Arroz Chocoarroz Marroc X75G,Alfajor De Arroz Chocoarroz Marroc X75G,,Chocoarroz
Chocolates Aireado Cofler 100 Gr,Chocolates Aireado Cofler 100 Gr,,Cofler
Cerveza Schneider Lata 473 mL,Cerveza Schneider Lata 473 mL,Cerveza Schneider,Schneider
Alfajor Terrabusi Check Out,Alfajor Terrabusi Check Out,,Terrabusi
Cerveza Stella Artois 473 mL x 6,Cerveza Stella Artois 473 mL x 6,Grupo Modelo,Stella Artois
Espumante Dadá Dulce 750 Cc,Espumante Dadá Dulce 750 Cc,,Dada
Bidon De Agua Villa Del Sur 6.25 Lt,AGUA MIN.VILLA DEL SUR BID0N X6LT.,gallega,Villa Del Sur
